IMG	SENTENCE	MATCH	KIND	SCENE
277	With a body that could walk into the hottest hour of the day	TIGHT	OBJECT	a simple full-body doodle of a fur-free white huma
278	when everything else was hiding...   ⏐   and simply keep goi	THEME	OBJECT	skin telling the story: tiny icons (sweat, sun, bu
279	We handed back the coat.   ⏐   The chimp kept his.	TIGHT	CHIMP	a chimp fully covered in flat brown fur beside a f
280	The wolf kept hers.   ⏐   The bear kept his.	TIGHT	OBJECT	a grey wolf with thick fur, bold outline
281	We traded ours for cooling, for endurance, for the long game	TIGHT	ANCESTOR	a caveman running steadily across savanna chasing 
282	and then we invented a coat we could take off whenever we fe	TIGHT	OBJECT	a row of human-invention icons: spear, fire, cloth
283	And somehow, against every obvious objection, it worked.	TIGHT	MODERN	a fur-free human flexing one arm with a small red 
284	Not because being naked was comfortable.	TIGHT	MODERN	a fur-free smooth white human gesturing at their o
285	But because being naked, in the right body, on the right day	TIGHT	MODERN	a fur-free white human flexing one arm with a smal
286	So the next time you get goosebumps over nothing...	TIGHT	MODERN	extreme close-up of a fur-free white forearm cover
287	or sweat through your shirt...	TIGHT	ANCESTOR	a white caveman jogging, lots of sweat drops flyin
288	or burn after one afternoon in the sun...	TIGHT	OBJECT	a big bold doodle sun with rays over a small fur-f
289	do not be annoyed by it.	THEME	MODERN	a content human in a jacket beside a warm fire
290	That is the oldest story you carry, written right into your 	TIGHT	OBJECT	an open doodle book / scroll with small icons (sun
291	You have the same five million follicles as that chimp.	TIGHT	CHIMP	split frame: a brown furry chimp and a fur-free wh
292	You just used yours to conquer a planet instead.	TIGHT	MODERN	a row of survival icons (spear, fire, clothing, ho
293	You are the naked ape.	TIGHT	MODERN	a fur-free white human standing tall and proud, si
294	The one that gave up the fur... and won anyway.	TIGHT	MODERN	a fur-free white human flexing one arm with a smal
